OPTIM_ID,STEP_ID,PARTICLE_ID,SAMPLE_ID,COST_VALUE
0,0,37,8,0.214212
0,0,37,9,0.266704
0,0,38,0,0.257995
0,0,38,1,0.231142
0,0,38,2,0.208606
0,0,38,3,0.278589
0,0,38,4,0.250319
0,0,38,5,0.241341
0,0,38,6,0.282445
0,0,38,7,0.255062
0,0,38,8,0.262726
0,0,38,9,0.280496
0,0,39,0,0.232349
0,0,39,1,0.242595
0,0,39,2,0.233165
0,0,39,3,0.245454
0,0,39,4,0.267925
0,0,39,5,0.271413
0,0,39,6,0.23989
0,0,39,7,0.264582
0,0,39,8,0.266938
0,0,39,9,0.236695
0,0,40,0,0.12445
0,0,40,1,0.204443
0,0,40,2,0.188197
0,0,40,3,0.226799
0,0,40,4,0.182135
0,0,40,5,0.17955
0,0,40,6,0.158424
0,0,40,7,0.192423
0,0,40,8,0.167688
0,0,40,9,0.159082
0,0,41,0,0.0999575
0,0,41,1,0.0858539
0,0,41,2,0.0835457
0,0,41,3,0.126313
0,0,41,4,0.124089
0,0,41,5,0.0852086
0,0,41,6,0.103087
0,0,41,7,0.0881577
0,0,41,8,0.0878269
0,0,41,9,0.0811385
0,0,42,0,0.303148
0,0,42,1,0.281818
0,0,42,2,0.253552
0,0,42,3,0.305295
0,0,42,4,0.30352
0,0,42,5,0.298085
0,0,42,6,0.270443
0,0,42,7,0.254814
0,0,42,8,0.279197
0,0,42,9,0.25939
0,0,43,0,0.23146
0,0,43,1,0.241678
0,0,43,2,0.177452
0,0,43,3,0.270236
0,0,43,4,0.250223
0,0,43,5,0.15792
0,0,43,6,0.22645
0,0,43,7,0.198582
0,0,43,8,0.252112
0,0,43,9,0.220654
0,0,44,0,0.195086
0,0,44,1,0.168467
0,0,44,2,0.185171
0,0,44,3,0.148227
0,0,44,4,0.1778
0,0,44,5,0.229368
0,0,44,6,0.197594
0,0,44,7,0.185287
0,0,44,8,0.155958
0,0,44,9,0.189997
0,0,45,0,0.342968
0,0,45,1,0.383889
0,0,45,2,0.347873
0,0,45,3,0.341549
0,0,45,4,0.395315
0,0,45,5,0.32351
0,0,45,6,0.341062
0,0,45,7,0.302302
0,0,45,8,0.320263
0,0,45,9,0.270793
0,0,46,0,0.23717
0,0,46,1,0.222806
0,0,46,2,0.230956
0,0,46,3,0.240293
0,0,46,4,0.251405
0,0,46,5,0.312917
0,0,46,6,0.28194
0,0,46,7,0.238832
0,0,46,8,0.183375
0,0,46,9,0.260947
0,0,47,0,0.351163
0,0,47,1,0.344706
0,0,47,2,0.325388
0,0,47,3,0.368048
0,0,47,4,0.303469
0,0,47,5,0.384097
0,0,47,6,0.366816
0,0,47,7,0.35297
0,0,47,8,0.343623
0,0,47,9,0.327804
0,0,48,0,0.319612
0,0,48,1,0.35539
0,0,48,2,0.387321
0,0,48,3,0.365147
0,0,48,4,0.355622
0,0,48,5,0.358773
0,0,48,6,0.359209
0,0,48,7,0.358116
0,0,48,8,0.331011
0,0,48,9,0.36089
0,0,49,0,0.290427
0,0,49,1,0.300368
0,0,49,2,0.306231
0,0,49,3,0.290153
0,0,49,4,0.281151
0,0,49,5,0.308017
0,0,49,6,0.264215
0,0,49,7,0.326466
0,0,49,8,0.31665
0,0,49,9,0.337104
0,1,0,0,0.308242
0,1,0,1,0.260736
0,1,0,2,0.295599
0,1,0,3,0.283615
0,1,0,4,0.329619
0,1,0,5,0.263482
0,1,0,6,0.270948
0,1,0,7,0.288963
0,1,0,8,0.237561
0,1,0,9,0.28513
0,1,1,0,0.392255
0,1,1,1,0.376524
0,1,1,2,0.389685
0,1,1,3,0.391186
0,1,1,4,0.391604
0,1,1,5,0.343255
0,1,1,6,0.406206
0,1,1,7,0.406097
0,1,1,8,0.43042
0,1,1,9,0.388714
0,1,2,0,0.385705
0,1,2,1,0.388415
0,1,2,2,0.38703
0,1,2,3,0.319604
0,1,2,4,0.401433
0,1,2,5,0.386006
0,1,2,6,0.397225
0,1,2,7,0.34504
0,1,2,8,0.411014
0,1,2,9,0.376839
0,1,3,0,0.430279
0,1,3,1,0.43723
0,1,3,2,0.420715
0,1,3,3,0.43755
0,1,3,4,0.448222
0,1,3,5,0.362606
0,1,3,6,0.417296
0,1,3,7,0.380002
0,1,3,8,0.403414
0,1,3,9,0.426955
0,1,4,0,0.310158
0,1,4,1,0.334575
0,1,4,2,0.353497
0,1,4,3,0.336331
0,1,4,4,0.312191
0,1,4,5,0.326301
0,1,4,6,0.333405
0,1,4,7,0.374651
0,1,4,8,0.332448
0,1,4,9,0.376308
0,1,5,0,0.338264
0,1,5,1,0.344844
0,1,5,2,0.398313
0,1,5,3,0.293093
0,1,5,4,0.326504
0,1,5,5,0.378009
0,1,5,6,0.30478
0,1,5,7,0.358258
0,1,5,8,0.382426
0,1,5,9,0.323904
0,1,6,0,0.449828
0,1,6,1,0.397915
0,1,6,2,0.435161
0,1,6,3,0.41451
0,1,6,4,0.470379
0,1,6,5,0.399919
0,1,6,6,0.399331
0,1,6,7,0.461688
0,1,6,8,0.4349
0,1,6,9,0.42386
0,1,7,0,0.239618
0,1,7,1,0.300586
0,1,7,2,0.27897
0,1,7,3,0.269995
0,1,7,4,0.244097
0,1,7,5,0.237557
0,1,7,6,0.1843
0,1,7,7,0.293896
0,1,7,8,0.253357
0,1,7,9,0.309171
0,1,8,0,0.34445
0,1,8,1,0.280329
0,1,8,2,0.292545
0,1,8,3,0.296849
0,1,8,4,0.297563
0,1,8,5,0.328261
0,1,8,6,0.299489
0,1,8,7,0.354838
0,1,8,8,0.330815
0,1,8,9,0.29086
0,1,9,0,0.300667
0,1,9,1,0.275277
0,1,9,2,0.300667
0,1,9,3,0.309557
0,1,9,4,0.265355
0,1,9,5,0.268605
0,1,9,6,0.32106
0,1,9,7,0.262883
0,1,9,8,0.284425
0,1,9,9,0.319243
0,1,10,0,0.346547
0,1,10,1,0.27143
0,1,10,2,0.309626
0,1,10,3,0.287716
0,1,10,4,0.335378
0,1,10,5,0.299201
0,1,10,6,0.300585
0,1,10,7,0.297758
0,1,10,8,0.306285
0,1,10,9,0.301176
0,1,11,0,0.253513
0,1,11,1,0.261536
0,1,11,2,0.283435
0,1,11,3,0.250413
0,1,11,4,0.261216
0,1,11,5,0.287447
