SAMPLE_ID,PAR_NAME,INDEX,PAR_VALUE
35,vac_identifiable,0,0.000000
35,vac_prop,0,0.735658
35,vac_prop,1,0.00376153
35,vac_prop,2,0.00108582
35,vac_prop,3,0.259494
36,vac_rate,0,18494.700000
36,vac_protect_duration,0,96.000000
36,vac_dist,0,0.733122
36,vac_dist,1,0.176445
36,vac_dist,2,0.006475
36,vac_dist,3,0.083958
36,vac_efficacy,0,0.900000
36,vac_t_year_offset,0,0.000000
36,vac_t_year_length,0,48.000000
36,n_age_vac,0,10.000000
36,vac_t_freq,0,1.000000
36,reg_import_scale,0,1.000000
36,vac_identifiable,0,0.000000
36,vac_prop,0,0.733122
36,vac_prop,1,0.176445
36,vac_prop,2,0.00647475
36,vac_prop,3,0.0839584
37,vac_rate,0,18494.700000
37,vac_protect_duration,0,96.000000
37,vac_dist,0,0.595967
37,vac_dist,1,0.118241
37,vac_dist,2,0.063612
37,vac_dist,3,0.222180
37,vac_efficacy,0,0.900000
37,vac_t_year_offset,0,0.000000
37,vac_t_year_length,0,48.000000
37,n_age_vac,0,10.000000
37,vac_t_freq,0,1.000000
37,reg_import_scale,0,1.000000
37,vac_identifiable,0,0.000000
37,vac_prop,0,0.595967
37,vac_prop,1,0.118241
37,vac_prop,2,0.0636122
37,vac_prop,3,0.22218
38,vac_rate,0,18494.700000
38,vac_protect_duration,0,96.000000
38,vac_dist,0,0.156619
38,vac_dist,1,0.344360
38,vac_dist,2,0.071660
38,vac_dist,3,0.427362
38,vac_efficacy,0,0.900000
38,vac_t_year_offset,0,0.000000
38,vac_t_year_length,0,48.000000
38,n_age_vac,0,10.000000
38,vac_t_freq,0,1.000000
38,reg_import_scale,0,1.000000
38,vac_identifiable,0,0.000000
38,vac_prop,0,0.156619
38,vac_prop,1,0.34436
38,vac_prop,2,0.0716596
38,vac_prop,3,0.427362
39,vac_rate,0,18494.700000
39,vac_protect_duration,0,96.000000
39,vac_dist,0,0.747570
39,vac_dist,1,0.034859
39,vac_dist,2,0.100706
39,vac_dist,3,0.116866
39,vac_efficacy,0,0.900000
39,vac_t_year_offset,0,0.000000
39,vac_t_year_length,0,48.000000
39,n_age_vac,0,10.000000
39,vac_t_freq,0,1.000000
39,reg_import_scale,0,1.000000
39,vac_identifiable,0,0.000000
39,vac_prop,0,0.74757
39,vac_prop,1,0.0348589
39,vac_prop,2,0.100706
39,vac_prop,3,0.116866
40,vac_rate,0,18494.700000
40,vac_protect_duration,0,96.000000
40,vac_dist,0,0.860258
40,vac_dist,1,0.023282
40,vac_dist,2,0.005193
40,vac_dist,3,0.111267
40,vac_efficacy,0,0.900000
40,vac_t_year_offset,0,0.000000
40,vac_t_year_length,0,48.000000
40,n_age_vac,0,10.000000
40,vac_t_freq,0,1.000000
40,reg_import_scale,0,1.000000
40,vac_identifiable,0,0.000000
40,vac_prop,0,0.860258
40,vac_prop,1,0.0232821
40,vac_prop,2,0.00519341
40,vac_prop,3,0.111267
41,vac_rate,0,18494.700000
41,vac_protect_duration,0,96.000000
41,vac_dist,0,0.563163
41,vac_dist,1,0.154337
41,vac_dist,2,0.126019
41,vac_dist,3,0.156480
41,vac_efficacy,0,0.900000
41,vac_t_year_offset,0,0.000000
41,vac_t_year_length,0,48.000000
41,n_age_vac,0,10.000000
41,vac_t_freq,0,1.000000
41,reg_import_scale,0,1.000000
41,vac_identifiable,0,0.000000
41,vac_prop,0,0.563163
41,vac_prop,1,0.154337
41,vac_prop,2,0.126019
41,vac_prop,3,0.15648
42,vac_rate,0,18494.700000
42,vac_protect_duration,0,96.000000
42,vac_dist,0,0.670886
42,vac_dist,1,0.079609
42,vac_dist,2,0.051602
42,vac_dist,3,0.197903
42,vac_efficacy,0,0.900000
42,vac_t_year_offset,0,0.000000
42,vac_t_year_length,0,48.000000
42,n_age_vac,0,10.000000
42,vac_t_freq,0,1.000000
42,reg_import_scale,0,1.000000
42,vac_identifiable,0,0.000000
42,vac_prop,0,0.670886
42,vac_prop,1,0.0796089
42,vac_prop,2,0.0516022
42,vac_prop,3,0.197903
43,vac_rate,0,18494.700000
43,vac_protect_duration,0,96.000000
43,vac_dist,0,0.799245
43,vac_dist,1,0.070433
43,vac_dist,2,0.043249
43,vac_dist,3,0.087073
43,vac_efficacy,0,0.900000
43,vac_t_year_offset,0,0.000000
43,vac_t_year_length,0,48.000000
43,n_age_vac,0,10.000000
43,vac_t_freq,0,1.000000
43,reg_import_scale,0,1.000000
43,vac_identifiable,0,0.000000
43,vac_prop,0,0.799245
43,vac_prop,1,0.0704331
43,vac_prop,2,0.0432491
43,vac_prop,3,0.0870731
44,vac_rate,0,18494.700000
44,vac_protect_duration,0,96.000000
44,vac_dist,0,0.657585
44,vac_dist,1,0.128430
44,vac_dist,2,0.135951
44,vac_dist,3,0.078034
44,vac_efficacy,0,0.900000
44,vac_t_year_offset,0,0.000000
44,vac_t_year_length,0,48.000000
44,n_age_vac,0,10.000000
44,vac_t_freq,0,1.000000
44,reg_import_scale,0,1.000000
44,vac_identifiable,0,0.000000
44,vac_prop,0,0.657585
44,vac_prop,1,0.12843
44,vac_prop,2,0.135951
44,vac_prop,3,0.078034
45,vac_rate,0,18494.700000
45,vac_protect_duration,0,96.000000
